English,Lunda,Grammar_Notes,Noun_Class,Verb_Extensions,Agreement_Pattern
So Jacob said to him You know how I have served you,Dichi Yakoba wamulejeli nindi Eyi wuneluki chinnakuzatili,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And how your herd has fared with me,nichinnakuhembeli yimuna yeyi chiwahi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
You had little before my coming,henohu kanda ninzi eyi wadiña nayimuna yantesha,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
But your herd has increased and multiplied,ilaña ichi yinavuli nankashi nikusemununa,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And Jehovah has blessed you since I arrived,nawa Yehova nakukiswili kufuma tuhu hinashikili,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
So when will I do something for my own house,Hanu dinu mpinjinyi yinakazatahu yuma yamwitala dami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Then he said What should I give you,Kuhiñahu wamwihwili nindi Chumanyi chinukukwinka,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And Jacob said You will give me nothing whatsoever,Yakoba wamwakwili nindi Hiwukunyinkahu chuma chidi chejimaku,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
If you will do this one thing for me,Ilaña neyi wukuñilila ichi chuma chimu hohu,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
I will resume shepherding your flock and guarding it,nukutachika cheñi kubiña nikuhemba mukanka wayimuna yeyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
I will pass through your whole flock today,Dalelu nukuhitañana hamukanka wejima wayimuna yeyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
You set aside from there every sheep speckled and with color patches,Wuñaambwilihu mukoku wejima wamabeña-mabeña wawulombu wamboka-mboka,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And every dark-brown sheep among the young rams,wejima wachiluluka nankashi hakachi kawanyana kanyikoku ayizamba,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And any color-patched and speckled one among the she-goats,nimpembi wejima wukweti wulombu wamboka-mboka niwamabeña-mabeña hakachi kawampembi anyikaji,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
From now on these must become my wages,Kufuma tuhu hohanu yumiyi yikwikala wufwetu wami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And my righteousness must speak for me on a future day,Nawa kuloña kwami kukanhoshelaku hefuku dakumbidi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
When you come to look over my wages,diwakenza nakutala wufwetu wami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Every one that is not speckled and color-patched among the she-goats,chimuna wejima wakabula kwikala wamabeña-mabeña niwakabula wulombu wamboka-mboka hakachi kawampembi anyikaji,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And dark brown among the young rams,niwakabula kwikala wachiluluka nankashi hakachi kawanyana kanyikoku ayizamba,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Will be considered stolen if it is with me,neyi yakawaniki kudi ami dikwila nawu owu chimuna wakwiya,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
To this Laban said That is fine,Hohenohu Labani wahosheli nindi Chachiwahi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Let it be according to your word,Chikekali kwesekeja namuwunahoshi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Then on that day he set aside the he-goats striped and color-patched,Hadodenodu ifuku waambwili ampembi ayizamba anyilenji awulombu wamboka-mboka,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And all the she-goats speckled and color-patched,niampembi ejima anyikaji amabeña niawulombu wamboka-mboka,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Every one in which there was any white and every one dark brown among the young rams,niwejima wadiñahu nawulombu wutooka niwejima wachiluluka nankashi hakachi kawanyana kanyikoku ayizamba,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And gave them into the care of his sons,nawa wayihanini kudi anyanindi awamayala kulonda ayihembeña,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
After that he set a distance of three days journey between himself and Jacob,Kuhiñahu wayili kwiluña dakwendahu mafuku asatu kufuma kwadiñayi Yakoba,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And Jacob was shepherding the flocks of Laban that remained over,nawa Yakoba wabiñileña nyikanka yayimuna yaLabani yashalili,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Jacob then took freshly cut staffs of the storax almond and plane trees,Kuhiñahu Yakoba waketwili tunyitondu tutuuta twasitorakisi twaamondi nitwanyitondu yanyilendi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And he peeled white spots in them by exposing the white wood of the staffs,nawa watubwambwili nakutushiya mabeña-mabeña atooka chakwila mutondu wutooka wamukachi wamwekeni,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Then he placed the staffs that he had peeled in front of the flock,Dichi washili itu tunyitondu twabwambwiliyi kumbidi yamukanka wayimuna,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
In the gutters in the drinking troughs,muyizawu dikwila nawu muwunwinu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Where the flocks would come to drink,omu mwenjileña yimuna nakunwina menji,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
That they might get into heat in front of them when they came to drink,kulonda neyi yimuna yinenzi nakunwa menji yidikandamineña kwakwihi nanitu tunyitondu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
So the flocks would get into heat in front of the staffs,Dichi nyikanka yayimuna yadikandaminineña kumbidi yanitu tunyitondu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And the flocks would produce striped speckled and color-patched offspring,nawa iyi nyikanka yayimuna yasemeneña anyana anyilenji amabeña niawulombu wamboka-mboka,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Then Jacob separated the young rams and turned the flocks to face the striped ones,Kuhiñahu Yakoba waambwili anyana kanyikoku ayizamba nakubalumuna nyikanka yayimuna kulonda yitalishi chamesu kudi yanyilenji-nyilenji,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And all the dark-brown ones among the flocks of Laban,nikudi yachiluluka nankashi yadiña hanyikanka yayimuna yaLabani,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Then he separated his own flocks and did not mix them with Laban flocks,Kufumahu cheñi waambwili nyikanka yayimuna yindi nawa hayibombeli nanyikanka yayimuna yaLabaniku,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And whenever the robust animals would get into heat,Nawa mpinji yejima yatachikileña yimuna yakola kudikandama,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Jacob would place the staffs in the gutters before the eyes of the flocks,Yakoba washileña itu tunyitondu muyizawu kumesu anyikanka yayimuna,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
That they might get into heat by the staffs,kulonda yitachiki kudikandamina kwakwihi nanitu tunyitondu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
But when the animals were weak he would not place the staffs there,Ilaña neyi iyi yimuna yinazeyi hashileñamu itu tunyitonduku,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
So the weak ones always came to be Laban,Dichi mpinji yejima yimuna yazeya yekalileña yaLabani,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
But the robust ones became Jacob,ilaña yakola yekalileña yaYakoba,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And the man grew very prosperous,Nawa iwu iyala wekalili namaheta amavulu nankashi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And he acquired great flocks and male and female servants,wekalili nanyikanka yayimuna yayivulu nankashi ambuña awamayala niawambanda,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And camels and donkeys,angameli niayimbuulu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
When Rachel saw that she had borne no children to Jacob she became jealous of her sister,Racheli chamweniyi nindi hanavwalihu anyana naYakobaku wamutiyilili muhelindi ichima,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And began to say to Jacob Give me children or else I will die,nawa watachikili kumwila Yakoba nindi Nyinkihu anyana neyi nehi nukufwa,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
At this Jacob anger flared up against Rachel,Hohenohu Yakoba wamuzuwilili Racheli,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And he said Am I in the place of God who has prevented you from having children,nakumwila nindi Komana ami yami Nzambi wunakukañeshi kwikala nanyana tahindi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
So she said Here is my slave girl Bilhah,Dichi Racheli wahosheli nindi Talaña nduñu yami wamumbanda Biliha,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
In time he heard what the sons of Laban were saying,Chimwahitili mpinji watiyili anyana kaLabani awamayala anakuhosha nawu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Jacob has taken everything that belonged to our father,Yakoba natambuli yuma yatata yetu yejima,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And from what belonged to our father he has amassed all this wealth,nawa hayuma yatata yetu dihanaheteliyi maheta ejima awa,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
When Jacob would look at the face of Laban,Yakoba chamutalileñayi Labani hamesu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
He saw that his attitude toward him was not what it used to be,wamweni nindi yilwilu yaLabani kutalisha hadi yena hiyidi neyi chiyadiña hakusambilaku,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Finally Jehovah said to Jacob,Nkumininaku Yehova wamulejeli Yakoba nindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Return to the land of your fathers and to your relatives,Funtaku kwituña dawankakulula jeyi nikudi antaña jeyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And I will continue with you,nawa ami nukutwalekahu kwikala naneyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Then Jacob sent a message to Rachel and Leah to come out to the field,Kuhiñahu Yakoba watemesheli mazu kudi Racheli nikudi Liya kulonda enzi mwisaña,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
To his flock,mwadiña mukanka wayimuna yindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And he said to them,nawa wayilejeli nindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
I have seen that your father attitude toward me has changed,Yilwilu yatata yenu kutalisha hadi ami yinahimpiki,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
But the God of my father has been with me,ilaña Nzambi yatata yami natwalekihu kwikala nanami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
You yourselves certainly know that I have served your father with all my power,Ninenu mweluka chikupu nenu namukalakeli tata yenu nañovu jami jejima,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And your father has tried to cheat me and has changed my wages ten times,Nawa tata yenu neseki kundimba nikuhimpa wufwetu wami mapampa 10,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
But God has not allowed him to do me harm,ilaña Nzambi hanamwiteji kuñila chuma chatamaku,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
If on the one hand he would say The speckled ones will be your wages,Neyi ahosha nindi Yejima yamabeña diyi yikwikala wufwetu weyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Then the whole flock produced speckled ones,mukanka wejima wayimuna wasemeneña hohu yamabeña-mabeña,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
But if on the other hand he would say The striped ones will be your wages,ilaña neyi ahosha cheñi nindi Yejima yanyilenji diyi yikwikala wufwetu weyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Then the whole flock produced striped ones,mukanka wejima wayimuna wasemeneña hohu yanyilenji,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
So God kept taking your father livestock away from him and giving it to me,Dichi Nzambi watwalekelihu kumutambula tata yenu yimuna nakunyinkayu ami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Once when the flock got into heat,Mpinji yimu helili mukanka wayimuna wushiki hampinji yakudikandama,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
I raised my eyes and saw in a dream,nafumbwili mesu nawa muchilota namweni nami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
That the he-goats mating with the flock were striped speckled and spotty,ayizamba awampembi adikandamineña nawanyikaji adiña anyilenji amabeña niabalala,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Then the angel of the true God said to me in the dream,Kuhiñahu kañelu kaNzambi wantambikili muchilota nindi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Jacob to which I said Here I am,Yakoba ami netiyili nami Yami onu mwani,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And he continued Raise your eyes please,Nawa watwalekelihu nindi Fumbulaku mesu eyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And see that all the he-goats mating with the flock are striped speckled and spotty,wukumona ampembi ejima ayizamba anakudikandama nawanyikaji anyilenji amabeña niabalala,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
For I have seen all that Laban is doing to you,muloña namoni yuma yejima yinakukwilayi Labani,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
I am the true God of Bethel,Yami Nzambi walala waBeteli,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Where you anointed a pillar and where you made a vow to me,oku kuwahuñunwinini manji hachishimi nawa kuwasanyikilili kudi ami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Now get up go out of this land and return to the land of your birth,Dichi nyamukaku fumaku mudinu ituña wufunti kwituña kuwavwalikilili,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
At this Rachel and Leah answered him,Hohenohu Racheli naLiya amwihwili nawu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Is there any share left for us to inherit in our father house,Kudihu iseka didi dejima dinashali mwitala datata yetu ditunateli kuswana,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Does he not consider us as foreigners,Chineli natulandishi nawa nakuzatisha mali atuhanininiwu,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Since he has sold us and has been using up the money given for us,komana hakutumonaña neyi tudi añiinzaku,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
All the riches that God has taken away from our father are ours and our children,Maheta ejima anamutambuliwu tata yetu kudi Nzambi himaheta etu nawanyanetu,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
So then do everything that God has told you to do,Dichi dinu ilaku jejima jinakulejiyi Nzambi nindi wili,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Then Jacob got up and lifted his children and his wives on the camels,Kuhiñahu Yakoba wanyamukili nawa wakandamishili anyanindi niañodi jindi hajingameli,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And he began driving all his herd and all the goods that he had accumulated,nawa wasendeli yimuna yindi yejima niyuma yejima yaheteliyi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
The livestock in his possession that he had accumulated in Paddan-aram,yimuna yaheteliyi muPadani Arama,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
To go to Isaac his father in the land of Canaan,nakuya kudi tata yindi Isaka mwituña daKenani,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Now Laban had gone to shear his sheep,Dichi Labani wayili nakutewula anyikoku indi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And Rachel stole the teraphim statues that belonged to her father,nawa Racheli weyili yifwikija yawaterafi yatata yindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Moreover Jacob outwitted Laban the Aramean,Kubombelahu Yakoba wamuwombolokeli Labani wakuArama,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
For he had not told him that he was running away,muloña wamulejeli wanyi nindi nakutemuka,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And he ran away and crossed the River,Dichi watemukili nawa wazambukili Kaloña,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
He and all he had,yena niejima adiñayi nawu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Then he headed toward the mountainous region of Gilead,Kuhiñahu wayili kukabadi keluña damapidi dakuGiliyadi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
On the third day Laban was told that Jacob had run away,Hefuku damuchisatu Labani amulejeli nawu Yakoba natemuki,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
So he took his brothers with him and pursued him for a journey of seven days,Dichi wasendeli amanakwindi nakumupupilila Yakoba hadi lwendu lwamafuku 7,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And caught up with him in the mountainous region of Gilead,nawa wamuwanini kwiluña damapidi dakuGiliyadi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Then God came to Laban the Aramean in a dream by night,Kuhiñahu Nzambi wenjili kudi Labani mwini Arama muchilota nawufuku,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And said to him Be careful about what you say to Jacob,nakumuleja nindi Wubabali nayuma yiwukuhosha kudi Yakoba,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Either good or bad,hela yayiwahi hela yatama,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
So Laban approached Jacob,Dichi Labani wamuwanini Yakoba,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
As Jacob had pitched his tent in the mountain,hanyima yakwila Yakoba nalemi dehi itenti dindi kumpidi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And Laban had encamped with his brothers in the mountainous region of Gilead,nawa Labani nawamanakwindi ateekeleli kwiluña damapidi dakuGiliyadi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Then Laban said to Jacob What have you done,Kuhiñahu Labani wamwihwili Yakoba nindi Chumanyi chiwuneli,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Why have you resorted to outwitting me and carrying my daughters off like captives,Muloñadi chiwunafuukwilihu kunwomboloka nakusenda anyanami awambanda neyi kwiji hiyankoli anakwatiwu kunjita,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Why did you run away secretly and outwit me and not tell me,Muloñadi chiwatemukila kufuma kudi ami mukuswamujoka nakunwomboloka chakadi kunleja,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
If you had told me I could have sent you away with rejoicing and with songs,Neyi wanleja nadi kukushinjikija namuzañalu ninatumina,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
With tambourine and with harp,nañoma yanyanya ninakadada,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
But you did not give me a chance to kiss my grandchildren and my daughters,Ilaña hiwanyinka mpinji yakufufwa ejikulu ami nianyanami awambandaku,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
You have acted foolishly,Wunakoñi mwawusupi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
It is in my power to do harm to you,Nikweti ñovu yakuyikoña chuma chatama,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
But the God of your father spoke to me last night,ilaña Nzambi yatata yenu wahosha nanami nawufuku,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Saying Be careful about what you say to Jacob either good or bad,nindi Wubabali nayuma yiwukuhosha kudi Yakoba hela yayiwahi hela yatama,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Now you have gone because you have been longing to return to the house of your father,Ichi wunakuya muloña wafwilaña nankashi kufunta kwitala datata yeyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
But why have you stolen my gods,hanu dinu muloñadi chiwuneyili anzambi ami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Jacob answered Laban It was because I was afraid,Yakoba wamwakwili Labani nindi Muloña natiyili woma,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
For I said to myself You might take your daughters away from me by force,nadihohesheli ami aweni nami Hadaha wukuntambula anyaneyi awambanda chakukanjikija,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Anyone with whom you find your gods will not live,Wudi wejima iwukuwana nawanzambi jeyi wukuhanda wanyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Before our brothers examine what I have and take what is yours,Henohu amanakwetu anakutalaku talatalaku yuma yinikweti nawa sendakuhu yuma yeyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
But Jacob did not know that Rachel had stolen them,Ilaña Yakoba welukili wanyi nindi Racheli diyi wayiyili,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
So Laban went into the tent of Jacob and into the tent of Leah,Dichi Labani weñilili mwitenti daYakoba mwitenti daLiya,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And into the tent of the two slave girls,nimwitenti dawambuña ayedi awambanda,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
But did not find them,ilaña wayiwanini wanyi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Then he came out of Leah tent and went into Rachel tent,Kuhiñahu wedikili mwitenti daLiya nawa weñilili mwitenti daRacheli,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Meanwhile Rachel had taken the teraphim statues,Haniyi mpinji Racheli wadiña wanona dehi yifwikija yawaterafi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And put them in the woman saddle basket of the camel,nakuyisweka muchakushakamahu ambanda hangameli,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And she was sitting on them,nawa washakaminihu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
So Laban searched through the whole tent but did not find them,Dichi Labani wakeñakeñeli mwitenti dejima ilaña hayiwaniniku,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Then she said to her father Do not be angry my lord,Kuhiñahu Racheli wamulejeli tata yindi nindi Mwanta wami bayi wuhilaku,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Because I am not able to get up before you,muloña ami hinukutwesha kunyamuka hamesu eyiku,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
For the customary thing with women is upon me,muloña chuma chashikenaña ambanda chinanshikeni,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
So he searched on carefully but did not find the teraphim statues,Dichi wakeñakeñeli chikupu ilaña hayiwanini oyu yifwikija yawaterafiku,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
At that Jacob became angry and began to criticize Laban,Hohenohu Yakoba wahilili nawa watachikili kumuhoshola Labani,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Jacob then said to Laban What is my offense,Kuhiñahu Yakoba wamwilili Labani nindi Nakoñi muloñanyi komana,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And for what sin are you hotly pursuing me,nawa nshidinyi yinnakoñi yinakuleteshi wunkumpishi nakuzuwa ñana,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Now that you have searched through all my goods what have you found that belongs to your house,Chineli wunakeñakeñi muyuma yami yejima chumanyi chiwunawani chamwitala deyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Put it here in front of my brothers and your brothers,Chitenteki aha kumesu awamanakwami niamanakweyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And let them decide between the two of us,nawa tuyileki atuhakwili etu ayedi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
During these 20 years that I have been with you,Haniyi yaaka yejima 20 yinnashakami naneyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Your sheep and your goats never miscarried,anyikoku eyi niampembi jeyi hiyasulumwineñaku,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And I never ate the rams of your flock,nawa hinadiilihu ayizamba anyikoku ahamukanka wayimuna yeyiku,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
I did not bring you any animal torn by wild beasts,Nakuletelelihu wanyi chimuna anataboliwu kudi anyama azuwa amwisaña,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
I would stand the loss of it myself,Ilaña nadiña nakusinsishamu wacheñi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Whether the animal was stolen by day or was stolen by night,Eyi wakeñeleña ami kukufuntishila chimuna cheyi hela chakwila anamwiyi namwaana hela nawufuku,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
You would demand compensation from me,mutenowu wadi kunleka kuya makasakasa,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
By day the heat consumed me and the cold by night,Namwaana nkanza yañocheleña nawufuku chishika chankwatileña,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And sleep would flee from my eyes,nawa tulu twamanineña mumesu,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
This makes 20 years for me in your house,Achinu dichaaka chinashikiji yaaka 20 yinnashakami mwitala deyi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
I have served you 14 years for your two daughters,Nakuzatili eyi yaaka 14 hamuloña wawanyaneyi awambanda ayedi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And 6 years for your flock,nawa nakubiñili mukanka wayimuna yeyi yaaka 6,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And you kept changing my wages ten times,ilaña eyi watwalekelihu kuhimpa wufwetu wami mapampa 10,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
If the God of my father the God of Abraham and the One whom Isaac fears,Neyi chakwila Nzambi yatata yami Nzambi yaAbarahama nawa atiyañawu woma kudi Isaka,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Had not been on my side you would now have sent me away empty-handed,hadiña kukabadi kamiku mutenowu wadi kunleka kuya makasakasa,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
God has seen my affliction and the toil of my hands,Nzambi namoni yihuñu yami nichinakabakani makasa ami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And that is why he reproved you last night,dihafuma yakuzuwili wufuku walelu,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Then Laban answered Jacob The daughters are my daughters,Kuhiñahu Labani wamwilili Yakoba nindi Awa ambanda hiyanyanami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And the children my children and the flock my flock,nawa awa anyana hiyejikulwami iwu mukanka wayimuna himukanka wami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And everything you are looking at is mine and my daughters,nawa yuma yejima yiwunakumona yami nawanyanami awambanda,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
What can I do today against these or against their children whom they have borne,Chumanyi chatama chinukuyila dalelu awa hela anyanawu anavwaliwu,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
Now come let us make a covenant you and I,Dichi twaya tutiyañani chitiyañenu eyi nanami,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And it will serve as a witness between us,nawa chikwikalaña wunsahu hakachi ketu,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
So Jacob took a stone and set it up as a pillar,Hohenohu Yakoba wanoneli ilola nakudiimika kulonda diikali chishimi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Then Jacob said to his brothers Pick up stones,Kuhiñahu Yakoba wayilili amanakwindi nindi Nonojolenu malola,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
And they took stones and made a pile,Dichi anonojoleli malola nakuyilumbika hamu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
After that they ate there on the pile of stones,Kufumahu adiilili yakuda hewulu daniwu mulumba wamalola,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
Jacob then went on his way,Kuhiñahu Yakoba wayili kwawu,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
And the angels of God met up with him,nawa wadibulakeni nawañelu jaNzambi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
As soon as he saw them Jacob said,Chayimweniyi tuhu Yakoba wahosheli nindi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
This is the camp of God,Ichi hichilombu chaNzambi,Biblical dialogue,Class 1 (mu-),,Subject agreement wu-
So he named that place Mahanaim,Dichi idi iluña wadituumbili nindi Mahanayimi,Biblical narrative,Class 1 (mu-),,Subject agreement wu-
